numero,resultado
1,1.0
2,2.0000000000000004
3,2.4780526802882967
4,2.0000000000000004
5,1.7649219145257762
6,1.6242438458589112
7,1.5301401194721294
8,1.4625014315037788
9,1.4113817422019694
10,1.3712885742386236
11,1.3389360600321774
12,1.3122349990314777
13,1.2897918157941959
14,1.2706402217058288
15,1.2540884358442044
16,1.239627729522762
17,1.2268753409797368
18,1.2155375567441986
19,1.205385096514808
20,1.1962362610467245
21,1.18794512384693
22,1.180393085507983
23,1.173482721676698
24,1.1671332277352084
25,1.16127699558702
26,1.1558570065275933
27,1.1508248213011063
28,1.1461390131902824
29,1.1417639339288497
30,1.137668732543487
31,1.1338265684663242
32,1.130213975339441
33,1.1268103427811158
34,1.1235974912809534
35,1.1205593212041507
36,1.1176815212085263
37,1.1149513246244798
38,1.112357304808121
39,1.109889202357798
40,1.1075377785324496
41,1.105294690334227
42,1.1031523835964023
43,1.1011040011089914
44,1.0991433033620366
45,1.0972645999227437
46,1.0954626898122164
47,1.0937328095291587
48,1.0920705875959817
49,1.0904720046883813
50,1.0889333585612166
51,1.0874512331082007
52,1.086022470995754
53,1.0846441493965557
54,1.0833135584191713
55,1.0820281818892765
56,1.0807856801875317
57,1.079583874890821
58,1.078420734998704
59,1.077294364556659
60,1.0762029915129434
61,1.0751449576673844
62,1.0741187095887645
63,1.07312279039319
64,1.0721558322893057
65,1.071216549807851
66,1.070303733643068
67,1.0694162450421387
68,1.0685530106863557
69,1.0677130180142582
70,1.0668953109426644
71,1.0660989859464856
72,1.0653231884625665
73,1.0645671095866014
74,1.0638299830355074
75,1.0631110823505994
76,1.0624097183194838
77,1.0617252365968946
78,1.0610570155067078
79,1.0604044640091737
80,1.059767019818995
81,1.0591441476612922
82,1.058535337653767
83,1.057940103804485
84,1.0573579826157138
85,1.0567885317851433
86,1.0562313289966212
87,1.055685970793258
88,1.0551520715263956
89,1.0546292623745306
90,1.054117190426784
91,1.053615517826009
92,1.0531239209670242
93,1.0526420897458744
94,1.0521697268563412
95,1.0517065471302638
96,1.0512522769185006
97,1.0508066535096303
98,1.0503694245837212
99,1.0499403476987157
